WKT,name,description
"POINT (-121.7496639 38.54230979999999)",Aggie Compass Basic Needs Center,https://aggiecompass.ucdavis.edu/food-security#food

"POINT (-121.7499645 38.542067)",AggieFresh
,https://aggiecompass.ucdavis.edu/food-security#food

"POINT (-121.7491036 38.5428652)",CalFresh,https://aggiecompass.ucdavis.edu/food-security#food

"POINT (-121.7491813 38.5420901)",Fruit & Veggie Up!
,https://aggiecompass.ucdavis.edu/food-security#food

"POINT (-121.7546016 38.5454923)",AggieEats (International Center)
,https://aggiecompass.ucdavis.edu/aggieeats

"POINT (-121.765171 38.54480519999999)",AggieEats (Orchard Park)
,https://aggiecompass.ucdavis.edu/aggieeats

"POINT (-121.7493453 38.54111049999999)",AggieEats (Quad)
,https://aggiecompass.ucdavis.edu/aggieeats

"POINT (-121.7545957 38.5408303)",AggieEats (Storer Hall)
,https://aggiecompass.ucdavis.edu/aggieeats

"POINT (-121.7631583 38.5472523)",Aggie Meal Share Program (Cuarto DC)
,https://aggiecompass.ucdavis.edu/food-security#food

"POINT (-121.758103 38.5440391)",Aggie Meal Share Program (Segundo DC)
,https://aggiecompass.ucdavis.edu/food-security#food

"POINT (-121.7575059 38.5361547)",Aggie Meal Share Program (Tercero DC)
,https://aggiecompass.ucdavis.edu/food-security#food

"POINT (-121.7490369 38.5423918)",ASUCD Pantry,https://thepantry.ucdavis.edu/

"POINT (-121.7610777 38.5489541)",Davis Community Meals,https://daviscommunitymeals.org/

"POINT (-121.7443956 38.545846)",Davis Night Market
,https://www.facebook.com/davisnightmarket/

"POINT (-121.751926 38.5436578)",Salad Bowl Garden
,https://aggiecompass.ucdavis.edu/food-security#food

"POINT (-121.7516426 38.53934599999999)",Satellite Pantry (AB540 and Undocumented Student Center)
,https://www.instagram.com/ucdpantry/p/C7SuS2QpZwE/?img_index=1

"POINT (-121.750658 38.5405506)",Satellite Pantry (African American Studies)
,https://www.instagram.com/ucdpantry/p/C7SuS2QpZwE/?img_index=1

"POINT (-121.7528626 38.5382009)",Satellite Pantry (Center for African Diaspora and Student Success)
,https://www.instagram.com/ucdpantry/p/C7SuS2QpZwE/?img_index=1

"POINT (-121.7495517 38.5423084)",Satellite Pantry (Center for Chicanx and Latinx Academic Student Success CCLASS)
,https://www.instagram.com/ucdpantry/p/C7SuS2QpZwE/?img_index=1

"POINT (-121.7507696 38.53978299999999)",Walker HallSatellite Pantry (Graduate Student Association Pantry)
,https://www.instagram.com/ucdpantry/p/C7SuS2QpZwE/?img_index=1

"POINT (-121.7516426 38.53934599999999)",Satellite Pantry (LGBTQIA+ Student Center)
,https://www.instagram.com/ucdpantry/p/C7SuS2QpZwE/?img_index=1

"POINT (-121.7474339 38.54101169999999)",Satellite Pantry (Native Nest - Native American Academic Student Success Center)
,https://www.instagram.com/ucdpantry/p/C7SuS2QpZwE/?img_index=1

"POINT (-121.7516426 38.53934599999999)",Satellite Pantry (Student Recruitment & Retention Center SRRC)
,https://www.instagram.com/ucdpantry/p/C7SuS2QpZwE/?img_index=1

"POINT (-121.7767979 38.5418147)",Satellite Pantry (The Green at West Village - Community Center)
,https://www.instagram.com/ucdpantry/p/C7SuS2QpZwE/?img_index=1

"POINT (-121.7516426 38.53934599999999)",Satellite Pantry (Undocumented Student Resource Center)
,https://www.instagram.com/ucdpantry/p/C7SuS2QpZwE/?img_index=1

"POINT (-121.7466887 38.5428373)",St. Tabitha's Essentials Pantry
,https://aggiecompass.ucdavis.edu/food-security#food

"POINT (-121.7540153 38.54438)",Teaching Kitchen
,https://shcs.ucdavis.edu/health-and-wellness/nutrition-and-food/teaching-kitchen

"POINT (-121.7495517 38.5423084)",The Freedge (Memorial Union)
,https://aggiecompass.ucdavis.edu/food-security#food

"POINT (-121.7434991 38.5467292)",Yolo Food Bank (Empower Yolo)
,https://yolofoodbank.org/find-food/

"POINT (-121.7721184 38.540842)",Yolo Food Bank (Sacramento City College – Davis Center)
,https://yolofoodbank.org/find-food/

"POINT (-121.6950116 38.5576939)",Yolo Food Bank (University Covenant Church)
,https://yolofoodbank.org/find-food/

